type,title,organization,year,use,url
official_policy,Manufacturing Innovation 3.0 Strategy,Republic of Korea Policy Briefing,2014,Policy background; predates the 2015 sample and is not a usable within-sample shock.,https://m.korea.kr/briefing/policyBriefingView.do?newsId=148780561
official_policy,Korean New Deal / Digital New Deal,Ministry of Economy and Finance,2020,National digital-policy timing; unsuitable for a simple post-2020 DiD because it coincides with COVID-19 and has no untreated national group.,https://www.moef.go.kr/nw/nes/detailNesDtaView.do?menuNo=4010100&searchBbsId1=MOSFBBS_000000000028&searchNttId1=MOSF_000000000040637
official_policy,Korean New Deal English policy document,Ministry of Economy and Finance,2020,English description of the Digital New Deal.,https://english.moef.go.kr/co/fixFileDown.do?orgNm=Korean_New_Deal.pdf
official_evaluation,Digital Transformation Policy Analysis,National Assembly Budget Office,2023,Program scale and annual smart-factory implementation counts for 2014-2022.,https://nabo.go.kr/board/file/down.do?fid=33317567
official_program,Smart Factory Support Portal,KOSMO / Ministry of SMEs and Startups,2026,Potential firm-level beneficiary verification; requires business registration number.,https://www.smart-factory.kr/
research,Smart Policies for Smart Factories,Korea Development Institute,2019,Korean smart-factory policy design and evaluation background.,https://www.kdi.re.kr/eng/research/reportView?pub_no=16563
research_data_route,Regional factors associated with smart factory adoption in South Korea,Technology in Society,2024,Documents MSS microdata with adoption year/type/level/location for supported firms during 2014-2020; strongest candidate for staggered treatment matching.,https://www.sciencedirect.com/science/article/pii/S0160791X24000575
official_disclosure,DART periodic-disclosure filing deadlines,Financial Supervisory Service,2026,"Annual reports are due within 90 days after fiscal year-end, explaining concentrated filing dates and bundled event-window information.",https://dart2.fss.or.kr/introduction/content2.do
market_structure,OECD Corporate Governance Factbook 2025: Korea,OECD,2025,Benchmarks Korea's public-equity ownership structure against OECD members and documents the comparatively high corporate ownership share and low institutional-investor share.,https://www.oecd.org/en/publications/oecd-corporate-governance-factbook-2025_4d9f40fc-en/korea_42075190-en.html
official_market_policy,Corporate Value-up Plan,Financial Services Commission,2024,"Official evidence that Korean market reform emphasizes concrete value drivers, shareholder communication and returns in addressing the Korea discount.",https://www.fsc.go.kr/eng/po110101/82795
market_structure,Reforming large business groups to promote productivity and inclusion in Korea,OECD Economic Survey: Korea,2018,"Links concentrated control, governance concerns and affiliated-group structures to the Korea discount and weaker minority-shareholder valuation.",https://www.oecd.org/en/publications/oecd-economic-surveys-korea-2018_eco_surveys-kor-2018-en/full-report/component-8.html
digital_complementarity,Americans Do IT Better: US Multinationals and the Productivity Miracle,American Economic Review,2012,"Shows that IT productivity depends on complementary organization and management practices, so technology language or expenditure alone need not generate performance.",https://www.nber.org/papers/w13085
korea_smart_manufacturing,Are smart manufacturing systems beneficial for all SMEs? Evidence from Korea,Management Decision,2022,"Finds positive effects for actual smart-manufacturing maturity in 163 Korean manufacturing SMEs, but effects depend on industry and workforce composition.",https://www.sciencedirect.com/science/article/pii/S002517472200060X
korea_digital_maturity,How does digitalization drive urban industrial locations? An empirical examination of South Korea's experience,Technology in Society,2024,"Reports that most supported Korean smart factories remained at basic or lower-intermediate maturity, helping explain threshold and heterogeneous effects.",https://www.sciencedirect.com/science/article/pii/S0160791X24002562
method,Difference-in-Differences with multiple time periods,Journal of Econometrics,2021,Callaway-Sant'Anna staggered-adoption estimator.,https://doi.org/10.1016/j.jeconom.2020.12.001
method,Estimating dynamic treatment effects in event studies with heterogeneous treatment effects,Journal of Econometrics,2021,Sun-Abraham cohort-relative-time event-study estimator.,https://doi.org/10.1016/j.jeconom.2020.09.006
method,Estimating standard errors in finance panel data sets,Review of Financial Studies,2009,Clustered standard-error guidance.,https://academic.oup.com/rfs/article-abstract/22/1/435/1585940
method,Event Studies in Economics and Finance,Journal of Economic Literature,1997,Event-study design and interpretation.,https://www.jstor.org/stable/2729691
digital_transformation_review,A Systematic Review of the Literature on Digital Transformation,Journal of Management Studies,2021,Conceptual positioning of digital transformation as organizational change rather than keyword prevalence.,https://onlinelibrary.wiley.com/doi/10.1111/joms.12639
